name,material,mask,variant,index,x,y,width,height
WornStone_Junction_079,WornStone,79,0,187,222,162,16,16
WornStone_Junction_095,WornStone,95,0,188,242,162,16,16
WornStone_Edge_N_110,WornStone,110,0,189,262,162,16,16
WornStone_Junction_111,WornStone,111,0,190,282,162,16,16
WornStone_Inner_NW_127,WornStone,127,0,191,302,162,16,16
WornStone_Bend_NW_137,WornStone,137,0,192,2,142,16,16
WornStone_Junction_139,WornStone,139,0,193,22,142,16,16
WornStone_Junction_141,WornStone,141,0,194,42,142,16,16
WornStone_Junction_143,WornStone,143,0,195,62,142,16,16
WornStone_Edge_S_155,WornStone,155,0,196,82,142,16,16
WornStone_Junction_159,WornStone,159,0,197,102,142,16,16
WornStone_Junction_175,WornStone,175,0,198,122,142,16,16
WornStone_Inner_SW_191,WornStone,191,0,199,142,142,16,16
WornStone_Edge_E_205,WornStone,205,0,200,162,142,16,16
WornStone_Junction_207,WornStone,207,0,201,182,142,16,16
WornStone_Inner_SE_223,WornStone,223,0,202,202,142,16,16
WornStone_Inner_NE_239,WornStone,239,0,203,222,142,16,16
WornStone_Center_255,WornStone,255,0,204,242,142,16,16
WornStone_Center_Variant_01,WornStone,255,1,205,262,142,16,16
WornStone_Center_Variant_02,WornStone,255,2,206,282,142,16,16
WornStone_Center_Variant_03,WornStone,255,3,207,302,142,16,16
Cobbles_Island_000,Cobbles,0,0,208,2,122,16,16
Cobbles_End_N_001,Cobbles,1,0,209,22,122,16,16
Cobbles_End_E_002,Cobbles,2,0,210,42,122,16,16
Cobbles_Junction_003,Cobbles,3,0,211,62,122,16,16
Cobbles_End_S_004,Cobbles,4,0,212,82,122,16,16
Cobbles_Straight_NS_005,Cobbles,5,0,213,102,122,16,16
Cobbles_Junction_006,Cobbles,6,0,214,122,122,16,16
Cobbles_Junction_007,Cobbles,7,0,215,142,122,16,16
Cobbles_End_W_008,Cobbles,8,0,216,162,122,16,16
Cobbles_Junction_009,Cobbles,9,0,217,182,122,16,16
Cobbles_Straight_EW_010,Cobbles,10,0,218,202,122,16,16
Cobbles_Junction_011,Cobbles,11,0,219,222,122,16,16
Cobbles_Junction_012,Cobbles,12,0,220,242,122,16,16
Cobbles_Junction_013,Cobbles,13,0,221,262,122,16,16
Cobbles_Junction_014,Cobbles,14,0,222,282,122,16,16
Cobbles_Junction_015,Cobbles,15,0,223,302,122,16,16
Cobbles_Bend_NE_019,Cobbles,19,0,224,2,102,16,16
Cobbles_Junction_023,Cobbles,23,0,225,22,102,16,16
Cobbles_Junction_027,Cobbles,27,0,226,42,102,16,16
Cobbles_Junction_031,Cobbles,31,0,227,62,102,16,16
Cobbles_Bend_SE_038,Cobbles,38,0,228,82,102,16,16
Cobbles_Junction_039,Cobbles,39,0,229,102,102,16,16
Cobbles_Junction_046,Cobbles,46,0,230,122,102,16,16
Cobbles_Junction_047,Cobbles,47,0,231,142,102,16,16
Cobbles_Edge_W_055,Cobbles,55,0,232,162,102,16,16
Cobbles_Junction_063,Cobbles,63,0,233,182,102,16,16
Cobbles_Bend_SW_076,Cobbles,76,0,234,202,102,16,16
Cobbles_Junction_077,Cobbles,77,0,235,222,102,16,16
Cobbles_Junction_078,Cobbles,78,0,236,242,102,16,16
Cobbles_Junction_079,Cobbles,79,0,237,262,102,16,16
Cobbles_Junction_095,Cobbles,95,0,238,282,102,16,16
Cobbles_Edge_N_110,Cobbles,110,0,239,302,102,16,16
Cobbles_Junction_111,Cobbles,111,0,240,2,82,16,16
Cobbles_Inner_NW_127,Cobbles,127,0,241,22,82,16,16
Cobbles_Bend_NW_137,Cobbles,137,0,242,42,82,16,16
Cobbles_Junction_139,Cobbles,139,0,243,62,82,16,16
Cobbles_Junction_141,Cobbles,141,0,244,82,82,16,16
Cobbles_Junction_143,Cobbles,143,0,245,102,82,16,16
Cobbles_Edge_S_155,Cobbles,155,0,246,122,82,16,16
Cobbles_Junction_159,Cobbles,159,0,247,142,82,16,16
Cobbles_Junction_175,Cobbles,175,0,248,162,82,16,16
Cobbles_Inner_SW_191,Cobbles,191,0,249,182,82,16,16
Cobbles_Edge_E_205,Cobbles,205,0,250,202,82,16,16
Cobbles_Junction_207,Cobbles,207,0,251,222,82,16,16
Cobbles_Inner_SE_223,Cobbles,223,0,252,242,82,16,16
Cobbles_Inner_NE_239,Cobbles,239,0,253,262,82,16,16
Cobbles_Center_255,Cobbles,255,0,254,282,82,16,16
Cobbles_Center_Variant_01,Cobbles,255,1,255,302,82,16,16
Cobbles_Center_Variant_02,Cobbles,255,2,256,2,62,16,16
Cobbles_Center_Variant_03,Cobbles,255,3,257,22,62,16,16
TilledSoil_Island_000,TilledSoil,0,0,258,42,62,16,16
TilledSoil_End_N_001,TilledSoil,1,0,259,62,62,16,16
TilledSoil_End_E_002,TilledSoil,2,0,260,82,62,16,16
TilledSoil_Junction_003,TilledSoil,3,0,261,102,62,16,16
TilledSoil_End_S_004,TilledSoil,4,0,262,122,62,16,16
TilledSoil_Straight_NS_005,TilledSoil,5,0,263,142,62,16,16
TilledSoil_Junction_006,TilledSoil,6,0,264,162,62,16,16
TilledSoil_Junction_007,TilledSoil,7,0,265,182,62,16,16
TilledSoil_End_W_008,TilledSoil,8,0,266,202,62,16,16
TilledSoil_Junction_009,TilledSoil,9,0,267,222,62,16,16
TilledSoil_Straight_EW_010,TilledSoil,10,0,268,242,62,16,16
TilledSoil_Junction_011,TilledSoil,11,0,269,262,62,16,16
TilledSoil_Junction_012,TilledSoil,12,0,270,282,62,16,16
TilledSoil_Junction_013,TilledSoil,13,0,271,302,62,16,16
TilledSoil_Junction_014,TilledSoil,14,0,272,2,42,16,16
TilledSoil_Junction_015,TilledSoil,15,0,273,22,42,16,16
TilledSoil_Bend_NE_019,TilledSoil,19,0,274,42,42,16,16
TilledSoil_Junction_023,TilledSoil,23,0,275,62,42,16,16
TilledSoil_Junction_027,TilledSoil,27,0,276,82,42,16,16
TilledSoil_Junction_031,TilledSoil,31,0,277,102,42,16,16
TilledSoil_Bend_SE_038,TilledSoil,38,0,278,122,42,16,16
TilledSoil_Junction_039,TilledSoil,39,0,279,142,42,16,16
TilledSoil_Junction_046,TilledSoil,46,0,280,162,42,16,16
TilledSoil_Junction_047,TilledSoil,47,0,281,182,42,16,16
TilledSoil_Edge_W_055,TilledSoil,55,0,282,202,42,16,16
TilledSoil_Junction_063,TilledSoil,63,0,283,222,42,16,16
TilledSoil_Bend_SW_076,TilledSoil,76,0,284,242,42,16,16
TilledSoil_Junction_077,TilledSoil,77,0,285,262,42,16,16
TilledSoil_Junction_078,TilledSoil,78,0,286,282,42,16,16
TilledSoil_Junction_079,TilledSoil,79,0,287,302,42,16,16
TilledSoil_Junction_095,TilledSoil,95,0,288,2,22,16,16
TilledSoil_Edge_N_110,TilledSoil,110,0,289,22,22,16,16
TilledSoil_Junction_111,TilledSoil,111,0,290,42,22,16,16
TilledSoil_Inner_NW_127,TilledSoil,127,0,291,62,22,16,16
TilledSoil_Bend_NW_137,TilledSoil,137,0,292,82,22,16,16
TilledSoil_Junction_139,TilledSoil,139,0,293,102,22,16,16
TilledSoil_Junction_141,TilledSoil,141,0,294,122,22,16,16
TilledSoil_Junction_143,TilledSoil,143,0,295,142,22,16,16
TilledSoil_Edge_S_155,TilledSoil,155,0,296,162,22,16,16
TilledSoil_Junction_159,TilledSoil,159,0,297,182,22,16,16
TilledSoil_Junction_175,TilledSoil,175,0,298,202,22,16,16
TilledSoil_Inner_SW_191,TilledSoil,191,0,299,222,22,16,16
TilledSoil_Edge_E_205,TilledSoil,205,0,300,242,22,16,16
TilledSoil_Junction_207,TilledSoil,207,0,301,262,22,16,16
TilledSoil_Inner_SE_223,TilledSoil,223,0,302,282,22,16,16
TilledSoil_Inner_NE_239,TilledSoil,239,0,303,302,22,16,16
TilledSoil_Center_255,TilledSoil,255,0,304,2,2,16,16
TilledSoil_Center_Variant_01,TilledSoil,255,1,305,22,2,16,16
TilledSoil_Center_Variant_02,TilledSoil,255,2,306,42,2,16,16
TilledSoil_Center_Variant_03,TilledSoil,255,3,307,62,2,16,16
