name,material,mask,variant,index,x,y,width,height
DirtLane_Junction_111,DirtLane,111,0,32,42,122,16,16
DirtLane_Inner_NW_127,DirtLane,127,0,33,62,122,16,16
DirtLane_Bend_NW_137,DirtLane,137,0,34,82,122,16,16
DirtLane_Junction_139,DirtLane,139,0,35,102,122,16,16
DirtLane_Junction_141,DirtLane,141,0,36,122,122,16,16
DirtLane_Junction_143,DirtLane,143,0,37,142,122,16,16
DirtLane_Edge_S_155,DirtLane,155,0,38,162,122,16,16
DirtLane_Junction_159,DirtLane,159,0,39,182,122,16,16
DirtLane_Junction_175,DirtLane,175,0,40,2,102,16,16
DirtLane_Inner_SW_191,DirtLane,191,0,41,22,102,16,16
DirtLane_Edge_E_205,DirtLane,205,0,42,42,102,16,16
DirtLane_Junction_207,DirtLane,207,0,43,62,102,16,16
DirtLane_Inner_SE_223,DirtLane,223,0,44,82,102,16,16
DirtLane_Inner_NE_239,DirtLane,239,0,45,102,102,16,16
DirtLane_Center_255,DirtLane,255,0,46,122,102,16,16
DirtLane_Center_Variant_01,DirtLane,255,1,47,142,102,16,16
DirtLane_Center_Variant_02,DirtLane,255,2,48,162,102,16,16
DirtLane_Center_Variant_03,DirtLane,255,3,49,182,102,16,16
Footpath_Island_000,Footpath,0,0,50,2,82,16,16
Footpath_End_N_001,Footpath,1,0,51,22,82,16,16
Footpath_End_E_002,Footpath,2,0,52,42,82,16,16
Footpath_Junction_003,Footpath,3,0,53,62,82,16,16
Footpath_End_S_004,Footpath,4,0,54,82,82,16,16
Footpath_Straight_NS_005,Footpath,5,0,55,102,82,16,16
Footpath_Junction_006,Footpath,6,0,56,122,82,16,16
Footpath_Junction_007,Footpath,7,0,57,142,82,16,16
Footpath_End_W_008,Footpath,8,0,58,162,82,16,16
Footpath_Junction_009,Footpath,9,0,59,182,82,16,16
Footpath_Straight_EW_010,Footpath,10,0,60,2,62,16,16
Footpath_Junction_011,Footpath,11,0,61,22,62,16,16
Footpath_Junction_012,Footpath,12,0,62,42,62,16,16
Footpath_Junction_013,Footpath,13,0,63,62,62,16,16
Footpath_Junction_014,Footpath,14,0,64,82,62,16,16
Footpath_Junction_015,Footpath,15,0,65,102,62,16,16
Footpath_Bend_NE_019,Footpath,19,0,66,122,62,16,16
Footpath_Junction_023,Footpath,23,0,67,142,62,16,16
Footpath_Junction_027,Footpath,27,0,68,162,62,16,16
Footpath_Junction_031,Footpath,31,0,69,182,62,16,16
Footpath_Bend_SE_038,Footpath,38,0,70,2,42,16,16
Footpath_Junction_039,Footpath,39,0,71,22,42,16,16
Footpath_Junction_046,Footpath,46,0,72,42,42,16,16
Footpath_Junction_047,Footpath,47,0,73,62,42,16,16
Footpath_Edge_W_055,Footpath,55,0,74,82,42,16,16
Footpath_Junction_063,Footpath,63,0,75,102,42,16,16
Footpath_Bend_SW_076,Footpath,76,0,76,122,42,16,16
Footpath_Junction_077,Footpath,77,0,77,142,42,16,16
Footpath_Junction_078,Footpath,78,0,78,162,42,16,16
Footpath_Junction_079,Footpath,79,0,79,182,42,16,16
Footpath_Junction_095,Footpath,95,0,80,2,22,16,16
Footpath_Edge_N_110,Footpath,110,0,81,22,22,16,16
Footpath_Junction_111,Footpath,111,0,82,42,22,16,16
Footpath_Inner_NW_127,Footpath,127,0,83,62,22,16,16
Footpath_Bend_NW_137,Footpath,137,0,84,82,22,16,16
Footpath_Junction_139,Footpath,139,0,85,102,22,16,16
Footpath_Junction_141,Footpath,141,0,86,122,22,16,16
Footpath_Junction_143,Footpath,143,0,87,142,22,16,16
Footpath_Edge_S_155,Footpath,155,0,88,162,22,16,16
Footpath_Junction_159,Footpath,159,0,89,182,22,16,16
Footpath_Junction_175,Footpath,175,0,90,2,2,16,16
Footpath_Inner_SW_191,Footpath,191,0,91,22,2,16,16
Footpath_Edge_E_205,Footpath,205,0,92,42,2,16,16
Footpath_Junction_207,Footpath,207,0,93,62,2,16,16
Footpath_Inner_SE_223,Footpath,223,0,94,82,2,16,16
Footpath_Inner_NE_239,Footpath,239,0,95,102,2,16,16
Footpath_Center_255,Footpath,255,0,96,122,2,16,16
Footpath_Center_Variant_01,Footpath,255,1,97,142,2,16,16
Footpath_Center_Variant_02,Footpath,255,2,98,162,2,16,16
Footpath_Center_Variant_03,Footpath,255,3,99,182,2,16,16
